codigo;carta_esp;card_eng;descrip;como_afecta_year
1;El Loco;;El Loco es la carta número 0 del tarot, un símbolo de comienzos, potencial ilimitado y el espíritu libre. Representa a una figura juvenil que se encuentra al borde de un precipicio, mirando hacia adelante con confianza y despreocupación, mientras un pequeño perro lo acompaña, quizás advirtiéndole de los peligros. En sus manos lleva un pequeño saco, conteniendo las herramientas necesarias para el viaje, y una flor blanca, símbolo de pureza y nuevas oportunidades. En su cabeza, el sol brilla intensamente, iluminando su camino hacia lo desconocido. Esta carta refleja la energía de los comienzos audaces y la necesidad de confiar en la intuición y en el propio instinto. Sin embargo, también advierte sobre los riesgos de la imprudencia y la falta de preparación. En una lectura, El Loco puede indicar un nuevo capítulo en la vida, una aventura o la necesidad de dejar atrás las dudas y los miedos para abrazar lo inesperado con valentía y optimismo.;El Loco aparece en tu lectura para el año, esto podría señalar un periodo de gran libertad y nuevas aventuras. Esta carta sugiere que será un año de tomar riesgos, salir de tu zona de confort y lanzarte a lo desconocido con una mente abierta y un espíritu aventurero. Podrías estar listo para comenzar un nuevo capítulo en tu vida, ya sea en lo personal o en lo profesional, sin tener miedo de cometer errores en el camino. Sin embargo, también te advierte que debes ser consciente de los riesgos y no actuar de manera impulsiva. A pesar de las sorpresas y desafíos que puedan surgir, El Loco indica un tiempo para aprender, descubrir y disfrutar del viaje, sin aferrarse demasiado al control.
2;El Mago;;"El Mago, numerado con el 1, es el maestro de la manifestación y el puente entre lo terrenal y lo divino. Representa a un hombre de pie frente a una mesa que contiene los cuatro símbolos de los palos del tarot: una espada, un basto, una copa y un pentáculo, que simbolizan los elementos aire, fuego, agua y tierra. Su postura, con una mano apuntando al cielo y la otra a la tierra, ilustra el famoso axioma ""Como es arriba, es abajo,"" indicando su capacidad de canalizar energía divina para crear en el mundo físico. Sobre su cabeza, un símbolo de infinito muestra su conexión con lo eterno y su habilidad para dominar cualquier situación. Las flores alrededor de la carta representan fertilidad y creatividad. En una lectura, esta carta sugiere que tienes todo lo necesario para alcanzar tus metas, siempre y cuando enfoques tu voluntad, creatividad y acción de manera alineada. También puede aludir a oportunidades mágicas y a la importancia de aprovechar el momento.";El Mago en tu lectura para el año sugiere que este será un periodo de manifestación y poder personal. Esta carta habla de tener todas las herramientas necesarias a tu disposición para crear y transformar tu vida. Si te aparece El Mago, es un buen indicio de que tendrás la capacidad de materializar tus deseos y proyectos, especialmente si aplicas tus habilidades y conocimientos de manera efectiva. Puede ser un año de gran creatividad y logros, en el que las oportunidades fluyen y se abren a tu paso. Este es un buen momento para centrarte en tus metas y utilizar tu energía y recursos con inteligencia, ya que tendrás el poder para hacer que las cosas sucedan. Sin embargo, es importante usar este poder con responsabilidad y claridad.
3;La Sacerdotisa;;"La Sacerdotisa, marcada con el número 2, es el arquetipo de la sabiduría intuitiva, el misterio y el conocimiento oculto. Sentada entre dos columnas que representan la dualidad (el pilar negro de Boaz y el blanco de Jachin), guarda los secretos del universo. A sus pies, la Luna creciente alude a la intuición y las emociones subconscientes. En sus manos sostiene un pergamino con la palabra ""Tora,"" que simboliza el conocimiento divino y oculto. Su vestido azul fluye hacia abajo como un río, sugiriendo una conexión continua con el inconsciente colectivo. Detrás de ella, un velo con granadas bordadas oculta los misterios que solo pueden ser revelados a aquellos que buscan con verdadera intención. En una lectura, esta carta llama a escuchar tu intuición y explorar lo desconocido. Puede indicar un tiempo de reflexión, aprendizaje espiritual o un acceso profundo a los secretos internos.";La Sacerdotisa en tu lectura para el año indica que será un tiempo de introspección, sabiduría interna y crecimiento espiritual. Esta carta habla de la necesidad de confiar en tu intuición y de buscar respuestas en tu interior. Puede ser un año en el que te sentirás atraído por el conocimiento oculto o los misterios de la vida, y es un buen momento para desarrollar tu intuición y conciencia espiritual. La Sacerdotisa también sugiere que este año puede ser de quietud y reflexión, donde las respuestas a tus preguntas no provendrán del exterior, sino de tu propia sabiduría interior. Si sigues tu intuición, este año podría brindarte grandes insights y comprensión, pero ten cuidado de no caer en la confusión o el autoengaño.
4;La Emperatriz;;La Emperatriz, asociada con el número 3, es la personificación de la abundancia, la fertilidad y la creación. Se sienta en un trono lujoso rodeado por un paisaje exuberante lleno de trigo, árboles y un río serpenteante que simbolizan la conexión con la naturaleza y el flujo incesante de la vida. Lleva una corona con doce estrellas, que representan los signos del zodiaco y su dominio sobre los ciclos naturales. Su vestido, adornado con granadas, alude a la fertilidad y la vida. La Emperatriz irradia amor maternal, generosidad y creatividad. En una lectura, esta carta es una señal de prosperidad, crecimiento y la posibilidad de nuevas ideas o proyectos fructíferos. Puede representar también el amor, la familia o la belleza en sus formas más puras, invitándote a nutrir y disfrutar de lo que tienes.;La Emperatriz en tu lectura para el año es una señal de abundancia, creatividad y crecimiento. Esta carta sugiere que será un año próspero, lleno de oportunidades para nutrir y desarrollar proyectos, relaciones o ideas que te son queridas. La Emperatriz también está asociada con la fertilidad, lo que no solo puede referirse a la maternidad, sino a la creación en todas sus formas: creatividad, negocios, arte, etc. Si estás trabajando en algo, este será un año para ver crecer esos esfuerzos y recibir recompensas por tu dedicación. Además, La Emperatriz te invita a conectarte con tu lado más creativo y amoroso, buscando la belleza y la armonía en todo lo que hagas. Es un año para nutrir tanto lo físico como lo emocional, creando un entorno lleno de apoyo y cuidado.
5;El Emperador;;El Emperador, marcado con el número 4, simboliza el poder, la estabilidad y el orden. Sentado en un trono de piedra adornado con cabezas de carnero (un símbolo de autoridad y conexión con Aries), sostiene un cetro en una mano y un orbe en la otra, que representan su control sobre el mundo material y espiritual. A diferencia de la naturaleza fluida y creativa de La Emperatriz, el paisaje árido detrás del Emperador refleja su enfoque en la estructura, las reglas y la disciplina. Lleva una armadura debajo de sus ropajes, mostrando su disposición a proteger lo que ha construido. En una lectura, El Emperador habla de liderazgo, autoridad y el establecimiento de bases sólidas. Puede indicar la necesidad de tomar decisiones racionales, establecer límites claros o buscar el consejo de alguien con experiencia y sabiduría. También resalta el equilibrio entre la fuerza y la compasión en el ejercicio del poder.;El Emperador en tu lectura para el año sugiere un periodo de estabilidad, liderazgo y toma de control. Esta carta te invita a ser más estructurado y organizado, y a asumir una postura de autoridad o responsabilidad en tu vida. Puede ser un año donde te enfrentes a desafíos que requieran tomar decisiones firmes y liderar con claridad. El Emperador te anima a confiar en tus habilidades para establecer límites y mantener el orden en tu vida, ya sea en tu carrera, en tus relaciones o en proyectos personales. Si te concentras en establecer una base sólida, este será un año en el que podrás alcanzar objetivos importantes y asegurar tu futuro. Esta carta también habla de la importancia de ser disciplinado y de tomar el control de las circunstancias, sin dejarse llevar por el caos o la inestabilidad.
6;El Papa;;El Papa, también conocido como El Hierofante y numerado con el 5, es el símbolo de la tradición, el conocimiento espiritual y los valores colectivos. Sentado en un trono imponente entre dos pilares, viste ropas ceremoniales y una tiara de tres niveles que aluden a su autoridad en los mundos físico, mental y espiritual. En una mano sostiene un cetro tripartito que representa su dominio sobre los reinos, mientras que la otra ofrece una bendición. A sus pies, dos figuras lo miran, simbolizando a los buscadores del conocimiento o discípulos que buscan guía espiritual. Los ornamentos de las llaves cruzadas a sus pies reflejan el acceso a los misterios divinos y el conocimiento oculto. En una lectura, El Papa puede indicar conformidad con normas tradicionales, la búsqueda de sabiduría a través de un mentor o institución, o la necesidad de aprender dentro de un marco estructurado. También puede invitarte a reflexionar sobre tus valores y creencias fundamentales.;El Papa aparece en tu lectura para el año, esto sugiere que será un período de crecimiento espiritual, búsqueda de sabiduría y conexión con tradiciones o creencias profundas. Esta carta invita a encontrar orientación en fuentes sabias y en el respeto por los valores y principios que te guían. El Papa representa la figura de un maestro, mentor o consejero, por lo que podría ser un año en el que busques guía o enseñanza, o que te conviertas en un referente para otros. Puede ser un buen momento para fortalecer tu fe o comprometerte con una causa o filosofía que te aporte sentido. Esta carta también puede sugerir que, si enfrentas decisiones importantes, buscar consejo de alguien con más experiencia o adherirte a principios sólidos te llevará por el camino correcto.
7;Los Enamorados;;Los Enamorados, numerados con el 6, son una carta de dualidad, elecciones importantes y la conexión profunda entre los opuestos. La imagen suele mostrar a una pareja bajo la bendición de un ángel, con un paisaje paradisíaco de fondo que simboliza la pureza de su unión. El hombre y la mujer están desnudos, representando honestidad y vulnerabilidad, mientras detrás de ellos hay un árbol de la vida y un árbol con una serpiente, evocando la historia del Edén. El ángel, generalmente Rafael, los guía hacia un amor superior o decisiones conscientes. En una lectura, esta carta puede reflejar relaciones significativas, tanto románticas como platónicas, y las elecciones que moldean el destino. También sugiere la importancia de la armonía interna entre el corazón y la mente al tomar decisiones críticas, recordando que cada elección conlleva sus consecuencias.;Los Enamorados en tu lectura para el año habla de elecciones significativas y la armonización de las relaciones personales. Esta carta simboliza el amor, la conexión profunda y las decisiones que deben ser tomadas en base al corazón y la autenticidad. Si aparece en tu lectura, es probable que este sea un año en el que enfrentes decisiones importantes relacionadas con relaciones amorosas, amistades o asociaciones. Los Enamorados también pueden señalar un tiempo en el que tendrás que elegir entre varios caminos, y la clave estará en tomar decisiones que resuenen con tu verdadera esencia y valores. Esta carta sugiere que el amor y la armonía en tus relaciones jugarán un papel importante en tu vida durante el año, y que será un buen momento para establecer conexiones profundas y significativas. Es importante no dejarse llevar solo por la razón, sino escuchar también a tu intuición y tus sentimientos más profundos.
8;El Carro;;El Carro, marcado con el número 7, es una carta de movimiento, ambición y control. Muestra a un joven guerrero conduciendo un carro tirado por dos esfinges, una blanca y otra negra, que representan fuerzas opuestas que deben ser guiadas hacia una dirección común. Lleva una armadura decorada con símbolos de triunfo, y en su cabeza una corona que denota su autoridad espiritual. A pesar de estar en movimiento, el guerrero no sostiene las riendas, indicando que su control proviene de su fuerza de voluntad y disciplina interna. El fondo sugiere progreso y avance, mientras las estrellas y el dosel azul reflejan aspiraciones elevadas. En una lectura, El Carro simboliza victoria a través de la determinación, el esfuerzo y el enfoque. También puede sugerir superar desafíos, tomar el control de tu vida y avanzar hacia tus metas con confianza, siempre gestionando las fuerzas que intentan desviarte.;El Carro en tu lectura para el año es una carta de movimiento, determinación y victoria a través del control y la disciplina. Esta carta sugiere que este será un periodo en el que tendrás que tomar el control de tu vida y avanzar con firmeza hacia tus metas. El Carro es una carta de éxito alcanzado a través de la perseverancia, la concentración y el equilibrio, y puede indicar que enfrentarás obstáculos, pero que serás capaz de superarlos si mantienes el enfoque y la dirección correcta. En este año, podrías encontrar que se presentan oportunidades para viajar, avanzar en tu carrera o dar pasos importantes en proyectos personales. La clave del éxito será mantener tu voluntad fuerte, ser disciplinado y tener claridad en el camino que deseas seguir. Es un año en el que podrás cosechar grandes victorias si te mantienes enfocado y decides actuar con determinación.
9;La Justicia;;La Justicia, numerada con el 8 o el 11 dependiendo del mazo, representa equilibrio, verdad y las consecuencias de nuestras acciones. Sentada en un trono entre dos pilares similares a los de La Sacerdotisa, sostiene en una mano una espada, símbolo de acción decisiva y claridad, y en la otra una balanza que refleja la necesidad de equilibrio y equidad. Su mirada directa y su postura firme indican que no hay lugar para la parcialidad ni el engaño. Detrás de ella, una cortina roja insinúa que la verdad puede estar oculta pero que siempre saldrá a la luz. En una lectura, esta carta puede aludir a la importancia de actuar con honestidad e integridad, así como enfrentar las consecuencias de las propias acciones. También sugiere tomar decisiones basadas en lógica y justicia, y que el equilibrio debe ser restaurado en algún aspecto de tu vida.;La Justicia en tu lectura para el año señala un tiempo en el que la equidad, la verdad y el equilibrio jugarán un papel crucial. Esta carta habla de la necesidad de hacer lo correcto, de tomar decisiones justas y de ser consciente de las consecuencias de tus acciones. Si aparece La Justicia, puede ser un año de rendir cuentas, tanto a nivel personal como profesional. Podrías enfrentarte a situaciones en las que la honestidad, la imparcialidad y la integridad sean fundamentales, ya sea en el ámbito legal, en las relaciones o en el trabajo. La carta también sugiere que todo lo que has sembrado previamente, bueno o malo, comenzará a manifestarse, y que el karma o el destino traerán la justicia que mereces. Este será un año para mantener la claridad mental, reflexionar sobre las decisiones y asegurarte de actuar siempre desde un lugar de equilibrio y verdad.
10;El Ermitaño;;El Ermitaño, asociado con el número 9, es el arquetipo de la introspección, la sabiduría interior y la búsqueda espiritual. Representa a una figura solitaria, generalmente un anciano, sosteniendo una linterna que ilumina el camino frente a él, mientras que en la otra mano lleva un bastón que simboliza apoyo y fortaleza. La linterna contiene una estrella de seis puntas, que refleja la luz del conocimiento divino. El paisaje a su alrededor es desolado y montañoso, lo que sugiere que el camino hacia la sabiduría requiere esfuerzo y soledad. En una lectura, esta carta indica la necesidad de buscar respuestas dentro de uno mismo, tomarse un tiempo para la reflexión y encontrar claridad en medio de la confusión. Puede ser un llamado a retirarse temporalmente del mundo exterior para conectar con tus propios valores y propósitos, guiándote hacia una comprensión más profunda de tu vida.;El Ermitaño en tu lectura para el año indica un periodo de introspección, búsqueda interior y retiro. Esta carta habla de la necesidad de alejarse temporalmente del bullicio del mundo para encontrar respuestas en tu interior. Si aparece El Ermitaño, es probable que este año te impulse a reflexionar profundamente sobre tu vida, tus objetivos y lo que realmente deseas. Puede ser un tiempo en el que te sientas atraído por el autoanálisis, la espiritualidad o la soledad necesaria para encontrar claridad. El Ermitaño también sugiere que buscarás la sabiduría y la comprensión a través del estudio o la meditación, y que la luz y la verdad vendrán cuando te des el espacio necesario para escucharte a ti mismo. Aunque este año puede implicar momentos de retiro o de estar menos social, es una oportunidad para crecer espiritualmente y tomar decisiones más sabias y fundamentadas.
